"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"05.09.2018 04:45 - 05.09.2018 05:00","415","416"
"05.09.2018 05:00 - 05.09.2018 05:15","419","422"
"05.09.2018 05:15 - 05.09.2018 05:30","429","437"
"05.09.2018 05:30 - 05.09.2018 05:45","437","440"
"05.09.2018 05:45 - 05.09.2018 06:00","444","444"
"05.09.2018 06:00 - 05.09.2018 06:15","458","455"
"05.09.2018 06:15 - 05.09.2018 06:30","470","470"
"05.09.2018 06:30 - 05.09.2018 06:45","475","472"
"05.09.2018 06:45 - 05.09.2018 07:00","487","486"
"05.09.2018 07:00 - 05.09.2018 07:15","492","500"
"05.09.2018 07:15 - 05.09.2018 07:30","505","509"
"05.09.2018 07:30 - 05.09.2018 07:45","515","522"
"05.09.2018 07:45 - 05.09.2018 08:00","532","528"
"05.09.2018 08:00 - 05.09.2018 08:15","543","538"
"05.09.2018 08:15 - 05.09.2018 08:30","551","545"
"05.09.2018 08:30 - 05.09.2018 08:45","558","550"
"05.09.2018 08:45 - 05.09.2018 09:00","562","560"
"05.09.2018 09:00 - 05.09.2018 09:15","565","565"
"05.09.2018 09:15 - 05.09.2018 09:30","566","567"
"05.09.2018 09:30 - 05.09.2018 09:45","575","575"
"05.09.2018 09:45 - 05.09.2018 10:00","575","583"
"05.09.2018 10:00 - 05.09.2018 10:15","579","582"
"05.09.2018 10:15 - 05.09.2018 10:30","575","583"
"05.09.2018 10:30 - 05.09.2018 10:45","572","583"
"05.09.2018 10:45 - 05.09.2018 11:00","571","580"
"05.09.2018 11:00 - 05.09.2018 11:15","575","580"
"05.09.2018 11:15 - 05.09.2018 11:30","575","577"
"05.09.2018 11:30 - 05.09.2018 11:45","579","574"
"05.09.2018 11:45 - 05.09.2018 12:00","583","577"
"05.09.2018 12:00 - 05.09.2018 12:15","583","582"
"05.09.2018 12:15 - 05.09.2018 12:30","573","571"
"05.09.2018 12:30 - 05.09.2018 12:45","563","569"
"05.09.2018 12:45 - 05.09.2018 13:00","558","563"
"05.09.2018 13:00 - 05.09.2018 13:15","556","561"
"05.09.2018 13:15 - 05.09.2018 13:30","555","562"
"05.09.2018 13:30 - 05.09.2018 13:45","553","562"
"05.09.2018 13:45 - 05.09.2018 14:00","551","565"
"05.09.2018 14:00 - 05.09.2018 14:15","545","564"
"05.09.2018 14:15 - 05.09.2018 14:30","544","566"
"05.09.2018 14:30 - 05.09.2018 14:45","544","566"
"05.09.2018 14:45 - 05.09.2018 15:00","541","564"
"05.09.2018 15:00 - 05.09.2018 15:15","537","571"
"05.09.2018 15:15 - 05.09.2018 15:30","544","569"
"05.09.2018 15:30 - 05.09.2018 15:45","542","562"
"05.09.2018 15:45 - 05.09.2018 16:00","543","557"
"05.09.2018 16:00 - 05.09.2018 16:15","546","554"
"05.09.2018 16:15 - 05.09.2018 16:30","543","555"
"05.09.2018 16:30 - 05.09.2018 16:45","544","557"
"05.09.2018 16:45 - 05.09.2018 17:00","545","556"
"05.09.2018 17:00 - 05.09.2018 17:15","544","557"
"05.09.2018 17:15 - 05.09.2018 17:30","544","560"
"05.09.2018 17:30 - 05.09.2018 17:45","546","565"
"05.09.2018 17:45 - 05.09.2018 18:00","548","568"
"05.09.2018 18:00 - 05.09.2018 18:15","556","572"
"05.09.2018 18:15 - 05.09.2018 18:30","559","571"
"05.09.2018 18:30 - 05.09.2018 18:45","560","567"
"05.09.2018 18:45 - 05.09.2018 19:00","562","575"
"05.09.2018 19:00 - 05.09.2018 19:15","563","577"
"05.09.2018 19:15 - 05.09.2018 19:30","560","574"
"05.09.2018 19:30 - 05.09.2018 19:45","557","571"
"05.09.2018 19:45 - 05.09.2018 20:00","557","569"
"05.09.2018 20:00 - 05.09.2018 20:15","554","562"
"05.09.2018 20:15 - 05.09.2018 20:30","547","557"
"05.09.2018 20:30 - 05.09.2018 20:45","543","556"
"05.09.2018 20:45 - 05.09.2018 21:00","539","556"
"05.09.2018 21:00 - 05.09.2018 21:15","536","551"
"05.09.2018 21:15 - 05.09.2018 21:30","528","538"
"05.09.2018 21:30 - 05.09.2018 21:45","524","523"
"05.09.2018 21:45 - 05.09.2018 22:00","514","516"
"05.09.2018 22:00 - 05.09.2018 22:15","503","508"
"05.09.2018 22:15 - 05.09.2018 22:30","502","506"
"05.09.2018 22:30 - 05.09.2018 22:45","498","504"
"05.09.2018 22:45 - 05.09.2018 23:00","487","491"
"05.09.2018 23:00 - 05.09.2018 23:15","477","483"
"05.09.2018 23:15 - 05.09.2018 23:30","467","471"
"05.09.2018 23:30 - 05.09.2018 23:45","460","465"
"05.09.2018 23:45 - 06.09.2018 00:00","451","453"
"06.09.2018 00:00 - 06.09.2018 00:15","445","445"
"06.09.2018 00:15 - 06.09.2018 00:30","435","440"
"06.09.2018 00:30 - 06.09.2018 00:45","429","434"
"06.09.2018 00:45 - 06.09.2018 01:00","423","429"
"06.09.2018 01:00 - 06.09.2018 01:15","419","423"
"06.09.2018 01:15 - 06.09.2018 01:30","416","418"
"06.09.2018 01:30 - 06.09.2018 01:45","413","415"
"06.09.2018 01:45 - 06.09.2018 02:00","410","413"
"06.09.2018 02:00 - 06.09.2018 02:15","408","409"
"06.09.2018 02:15 - 06.09.2018 02:30","408","406"
"06.09.2018 02:30 - 06.09.2018 02:45","407","404"
"06.09.2018 02:45 - 06.09.2018 03:00","406","405"
"06.09.2018 03:00 - 06.09.2018 03:15","406","408"
"06.09.2018 03:15 - 06.09.2018 03:30","406","419"
"06.09.2018 03:30 - 06.09.2018 03:45","407","418"
"06.09.2018 03:45 - 06.09.2018 04:00","405","413"
"06.09.2018 04:00 - 06.09.2018 04:15","405","409"
"06.09.2018 04:15 - 06.09.2018 04:30","409","409"
"06.09.2018 04:30 - 06.09.2018 04:45","409","412"
"06.09.2018 04:45 - 06.09.2018 05:00","410","415"
"06.09.2018 05:00 - 06.09.2018 05:15","416","420"
"06.09.2018 05:15 - 06.09.2018 05:30","426","424"
"06.09.2018 05:30 - 06.09.2018 05:45","434","432"
"06.09.2018 05:45 - 06.09.2018 06:00","442","443"
"06.09.2018 06:00 - 06.09.2018 06:15","455","456"
"06.09.2018 06:15 - 06.09.2018 06:30","467","471"
"06.09.2018 06:30 - 06.09.2018 06:45","473","484"
"06.09.2018 06:45 - 06.09.2018 07:00","486","495"
"06.09.2018 07:00 - 06.09.2018 07:15","493","504"
"06.09.2018 07:15 - 06.09.2018 07:30","503","515"
"06.09.2018 07:30 - 06.09.2018 07:45","513","525"
"06.09.2018 07:45 - 06.09.2018 08:00","529","542"
"06.09.2018 08:00 - 06.09.2018 08:15","539","548"
"06.09.2018 08:15 - 06.09.2018 08:30","551","556"
"06.09.2018 08:30 - 06.09.2018 08:45","560","564"
"06.09.2018 08:45 - 06.09.2018 09:00","566","571"
"06.09.2018 09:00 - 06.09.2018 09:15","570","574"
"06.09.2018 09:15 - 06.09.2018 09:30","574","580"
"06.09.2018 09:30 - 06.09.2018 09:45","586","591"
"06.09.2018 09:45 - 06.09.2018 10:00","590","596"
"06.09.2018 10:00 - 06.09.2018 10:15","596","604"
"06.09.2018 10:15 - 06.09.2018 10:30","593","604"
"06.09.2018 10:30 - 06.09.2018 10:45","590","599"
"06.09.2018 10:45 - 06.09.2018 11:00","588","600"
"06.09.2018 11:00 - 06.09.2018 11:15","591","603"
"06.09.2018 11:15 - 06.09.2018 11:30","595","610"
"06.09.2018 11:30 - 06.09.2018 11:45","601","607"
"06.09.2018 11:45 - 06.09.2018 12:00","605","617"
"06.09.2018 12:00 - 06.09.2018 12:15","608","619"
"06.09.2018 12:15 - 06.09.2018 12:30","600","612"
"06.09.2018 12:30 - 06.09.2018 12:45","594","596"
"06.09.2018 12:45 - 06.09.2018 13:00","589","589"
"06.09.2018 13:00 - 06.09.2018 13:15","584","586"
"06.09.2018 13:15 - 06.09.2018 13:30","582","591"
"06.09.2018 13:30 - 06.09.2018 13:45","582","594"
"06.09.2018 13:45 - 06.09.2018 14:00","580","587"
"06.09.2018 14:00 - 06.09.2018 14:15","575","583"
"06.09.2018 14:15 - 06.09.2018 14:30","569","581"
"06.09.2018 14:30 - 06.09.2018 14:45","567","578"
"06.09.2018 14:45 - 06.09.2018 15:00","565","574"
"06.09.2018 15:00 - 06.09.2018 15:15","565","569"
"06.09.2018 15:15 - 06.09.2018 15:30","559","562"
"06.09.2018 15:30 - 06.09.2018 15:45","556","556"
"06.09.2018 15:45 - 06.09.2018 16:00","554","560"
"06.09.2018 16:00 - 06.09.2018 16:15","554","556"
"06.09.2018 16:15 - 06.09.2018 16:30","550","553"
"06.09.2018 16:30 - 06.09.2018 16:45","551","548"
"06.09.2018 16:45 - 06.09.2018 17:00","549","538"
"06.09.2018 17:00 - 06.09.2018 17:15","546","536"
"06.09.2018 17:15 - 06.09.2018 17:30","540","535"
"06.09.2018 17:30 - 06.09.2018 17:45","540","538"
"06.09.2018 17:45 - 06.09.2018 18:00","547","543"
"06.09.2018 18:00 - 06.09.2018 18:15","551","551"
"06.09.2018 18:15 - 06.09.2018 18:30","556","554"
"06.09.2018 18:30 - 06.09.2018 18:45","558","555"
"06.09.2018 18:45 - 06.09.2018 19:00","561","557"
"06.09.2018 19:00 - 06.09.2018 19:15","562","560"
"06.09.2018 19:15 - 06.09.2018 19:30","552","558"
"06.09.2018 19:30 - 06.09.2018 19:45","550","558"
"06.09.2018 19:45 - 06.09.2018 20:00","545","558"
"06.09.2018 20:00 - 06.09.2018 20:15","542","553"
"06.09.2018 20:15 - 06.09.2018 20:30","535","542"
"06.09.2018 20:30 - 06.09.2018 20:45","533","551"
"06.09.2018 20:45 - 06.09.2018 21:00","533","549"
"06.09.2018 21:00 - 06.09.2018 21:15","529","540"
"06.09.2018 21:15 - 06.09.2018 21:30","520","527"
"06.09.2018 21:30 - 06.09.2018 21:45","516","515"
"06.09.2018 21:45 - 06.09.2018 22:00","503","504"
"06.09.2018 22:00 - 06.09.2018 22:15","491","495"
"06.09.2018 22:15 - 06.09.2018 22:30","489","492"
"06.09.2018 22:30 - 06.09.2018 22:45","488","484"
"06.09.2018 22:45 - 06.09.2018 23:00","476","473"
"06.09.2018 23:00 - 06.09.2018 23:15","466","468"
"06.09.2018 23:15 - 06.09.2018 23:30","460","456"
"06.09.2018 23:30 - 06.09.2018 23:45","453","451"
"06.09.2018 23:45 - 07.09.2018 00:00","446","438"
"07.09.2018 00:00 - 07.09.2018 00:15","438","436"
"07.09.2018 00:15 - 07.09.2018 00:30","428","433"
"07.09.2018 00:30 - 07.09.2018 00:45","422","427"
"07.09.2018 00:45 - 07.09.2018 01:00","415","421"
"07.09.2018 01:00 - 07.09.2018 01:15","410","416"
"07.09.2018 01:15 - 07.09.2018 01:30","404","410"
"07.09.2018 01:30 - 07.09.2018 01:45","401","410"
"07.09.2018 01:45 - 07.09.2018 02:00","398","404"
"07.09.2018 02:00 - 07.09.2018 02:15","396","405"
"07.09.2018 02:15 - 07.09.2018 02:30","400","408"
"07.09.2018 02:30 - 07.09.2018 02:45","399","407"
"07.09.2018 02:45 - 07.09.2018 03:00","397","405"
"07.09.2018 03:00 - 07.09.2018 03:15","396","406"
"07.09.2018 03:15 - 07.09.2018 03:30","401","404"
"07.09.2018 03:30 - 07.09.2018 03:45","399","402"
"07.09.2018 03:45 - 07.09.2018 04:00","398","401"
"07.09.2018 04:00 - 07.09.2018 04:15","398","400"
"07.09.2018 04:15 - 07.09.2018 04:30","401","401"
"07.09.2018 04:30 - 07.09.2018 04:45","403","404"
"07.09.2018 04:45 - 07.09.2018 05:00","405","414"
"07.09.2018 05:00 - 07.09.2018 05:15","409","428"
"07.09.2018 05:15 - 07.09.2018 05:30","419","437"
"07.09.2018 05:30 - 07.09.2018 05:45","427","439"
"07.09.2018 05:45 - 07.09.2018 06:00","435","444"
"07.09.2018 06:00 - 07.09.2018 06:15","448","453"
"07.09.2018 06:15 - 07.09.2018 06:30","454","458"
"07.09.2018 06:30 - 07.09.2018 06:45","463","467"
"07.09.2018 06:45 - 07.09.2018 07:00","476","476"
"07.09.2018 07:00 - 07.09.2018 07:15","487","482"
"07.09.2018 07:15 - 07.09.2018 07:30","499","494"
"07.09.2018 07:30 - 07.09.2018 07:45","510","498"
"07.09.2018 07:45 - 07.09.2018 08:00","522","503"
"07.09.2018 08:00 - 07.09.2018 08:15","531","512"
"07.09.2018 08:15 - 07.09.2018 08:30","536","523"
"07.09.2018 08:30 - 07.09.2018 08:45","545","528"
"07.09.2018 08:45 - 07.09.2018 09:00","552","524"
"07.09.2018 09:00 - 07.09.2018 09:15","554","530"
"07.09.2018 09:15 - 07.09.2018 09:30","549","532"
"07.09.2018 09:30 - 07.09.2018 09:45","553","536"
"07.09.2018 09:45 - 07.09.2018 10:00","560","542"
"07.09.2018 10:00 - 07.09.2018 10:15","565","547"
"07.09.2018 10:15 - 07.09.2018 10:30","564","557"
"07.09.2018 10:30 - 07.09.2018 10:45","561","565"
"07.09.2018 10:45 - 07.09.2018 11:00","558","567"
"07.09.2018 11:00 - 07.09.2018 11:15","561","572"
"07.09.2018 11:15 - 07.09.2018 11:30","568","571"
"07.09.2018 11:30 - 07.09.2018 11:45","572","582"
"07.09.2018 11:45 - 07.09.2018 12:00","579","591"
"07.09.2018 12:00 - 07.09.2018 12:15","583","594"
"07.09.2018 12:15 - 07.09.2018 12:30","579","589"
"07.09.2018 12:30 - 07.09.2018 12:45","572","579"
"07.09.2018 12:45 - 07.09.2018 13:00","566","571"
"07.09.2018 13:00 - 07.09.2018 13:15","563","562"
"07.09.2018 13:15 - 07.09.2018 13:30","565","565"
"07.09.2018 13:30 - 07.09.2018 13:45","561","550"
"07.09.2018 13:45 - 07.09.2018 14:00","559","540"
"07.09.2018 14:00 - 07.09.2018 14:15","555","541"
"07.09.2018 14:15 - 07.09.2018 14:30","557","546"
"07.09.2018 14:30 - 07.09.2018 14:45","555","540"
"07.09.2018 14:45 - 07.09.2018 15:00","551","534"
"07.09.2018 15:00 - 07.09.2018 15:15","547","527"
"07.09.2018 15:15 - 07.09.2018 15:30","542","526"
"07.09.2018 15:30 - 07.09.2018 15:45","539","529"
"07.09.2018 15:45 - 07.09.2018 16:00","536","528"
"07.09.2018 16:00 - 07.09.2018 16:15","532","523"
"07.09.2018 16:15 - 07.09.2018 16:30","531","523"
"07.09.2018 16:30 - 07.09.2018 16:45","531","522"
"07.09.2018 16:45 - 07.09.2018 17:00","530","516"
"07.09.2018 17:00 - 07.09.2018 17:15","533","514"
"07.09.2018 17:15 - 07.09.2018 17:30","528","518"
"07.09.2018 17:30 - 07.09.2018 17:45","533","522"
"07.09.2018 17:45 - 07.09.2018 18:00","538","519"
"07.09.2018 18:00 - 07.09.2018 18:15","538","522"
"07.09.2018 18:15 - 07.09.2018 18:30","543","522"
"07.09.2018 18:30 - 07.09.2018 18:45","546","525"
"07.09.2018 18:45 - 07.09.2018 19:00","550","526"
"07.09.2018 19:00 - 07.09.2018 19:15","552","530"
"07.09.2018 19:15 - 07.09.2018 19:30","546","528"
"07.09.2018 19:30 - 07.09.2018 19:45","543","525"
"07.09.2018 19:45 - 07.09.2018 20:00","540","521"
"07.09.2018 20:00 - 07.09.2018 20:15","541","520"
"07.09.2018 20:15 - 07.09.2018 20:30","532","516"
"07.09.2018 20:30 - 07.09.2018 20:45","534","523"
"07.09.2018 20:45 - 07.09.2018 21:00","533","524"
"07.09.2018 21:00 - 07.09.2018 21:15","522","523"
"07.09.2018 21:15 - 07.09.2018 21:30","512","511"
"07.09.2018 21:30 - 07.09.2018 21:45","508","502"
"07.09.2018 21:45 - 07.09.2018 22:00","498","492"
"07.09.2018 22:00 - 07.09.2018 22:15","489","487"
"07.09.2018 22:15 - 07.09.2018 22:30","485","480"
"07.09.2018 22:30 - 07.09.2018 22:45","482","475"
"07.09.2018 22:45 - 07.09.2018 23:00","473","464"
"07.09.2018 23:00 - 07.09.2018 23:15","463","448"
"07.09.2018 23:15 - 07.09.2018 23:30","458","437"
"07.09.2018 23:30 - 07.09.2018 23:45","449","430"
"07.09.2018 23:45 - 08.09.2018 00:00","443","427"
"08.09.2018 00:00 - 08.09.2018 00:15","434","409"
"08.09.2018 00:15 - 08.09.2018 00:30","426","408"
"08.09.2018 00:30 - 08.09.2018 00:45","420","405"
"08.09.2018 00:45 - 08.09.2018 01:00","414","399"
"08.09.2018 01:00 - 08.09.2018 01:15","409","402"
"08.09.2018 01:15 - 08.09.2018 01:30","402","407"
"08.09.2018 01:30 - 08.09.2018 01:45","398","403"
"08.09.2018 01:45 - 08.09.2018 02:00","393","404"
"08.09.2018 02:00 - 08.09.2018 02:15","390","399"
"08.09.2018 02:15 - 08.09.2018 02:30","392","397"
"08.09.2018 02:30 - 08.09.2018 02:45","388","400"
"08.09.2018 02:45 - 08.09.2018 03:00","387","397"
"08.09.2018 03:00 - 08.09.2018 03:15","387","393"
"08.09.2018 03:15 - 08.09.2018 03:30","396","396"
"08.09.2018 03:30 - 08.09.2018 03:45","395","399"
"08.09.2018 03:45 - 08.09.2018 04:00","392","399"
"08.09.2018 04:00 - 08.09.2018 04:15","391","397"
"08.09.2018 04:15 - 08.09.2018 04:30","391","397"
"08.09.2018 04:30 - 08.09.2018 04:45","390","399"
"08.09.2018 04:45 - 08.09.2018 05:00","390","398"
"08.09.2018 05:00 - 08.09.2018 05:15","392","396"
"08.09.2018 05:15 - 08.09.2018 05:30","396","401"
"08.09.2018 05:30 - 08.09.2018 05:45","399","404"
"08.09.2018 05:45 - 08.09.2018 06:00","401","406"
"08.09.2018 06:00 - 08.09.2018 06:15","403","406"
"08.09.2018 06:15 - 08.09.2018 06:30","396","407"
"08.09.2018 06:30 - 08.09.2018 06:45","393","405"
"08.09.2018 06:45 - 08.09.2018 07:00","397","404"
"08.09.2018 07:00 - 08.09.2018 07:15","396","398"
"08.09.2018 07:15 - 08.09.2018 07:30","398","398"
"08.09.2018 07:30 - 08.09.2018 07:45","400","406"
"08.09.2018 07:45 - 08.09.2018 08:00","402","411"
"08.09.2018 08:00 - 08.09.2018 08:15","404","411"
"08.09.2018 08:15 - 08.09.2018 08:30","415","415"
"08.09.2018 08:30 - 08.09.2018 08:45","420","414"
"08.09.2018 08:45 - 08.09.2018 09:00","425","413"
"08.09.2018 09:00 - 08.09.2018 09:15","430","414"
"08.09.2018 09:15 - 08.09.2018 09:30","436","417"
"08.09.2018 09:30 - 08.09.2018 09:45","442","421"
"08.09.2018 09:45 - 08.09.2018 10:00","443","423"
"08.09.2018 10:00 - 08.09.2018 10:15","445","421"
"08.09.2018 10:15 - 08.09.2018 10:30","445","426"
"08.09.2018 10:30 - 08.09.2018 10:45","445","434"
"08.09.2018 10:45 - 08.09.2018 11:00","442","431"
"08.09.2018 11:00 - 08.09.2018 11:15","442","435"
"08.09.2018 11:15 - 08.09.2018 11:30","441","431"
"08.09.2018 11:30 - 08.09.2018 11:45","445","435"
"08.09.2018 11:45 - 08.09.2018 12:00","451","434"
"08.09.2018 12:00 - 08.09.2018 12:15","455","437"
"08.09.2018 12:15 - 08.09.2018 12:30","453","433"
"08.09.2018 12:30 - 08.09.2018 12:45","451","429"
"08.09.2018 12:45 - 08.09.2018 13:00","448","427"
"08.09.2018 13:00 - 08.09.2018 13:15","443","426"
"08.09.2018 13:15 - 08.09.2018 13:30","438","426"
"08.09.2018 13:30 - 08.09.2018 13:45","433","429"
"08.09.2018 13:45 - 08.09.2018 14:00","430","424"
"08.09.2018 14:00 - 08.09.2018 14:15","425","416"
"08.09.2018 14:15 - 08.09.2018 14:30","423","409"
"08.09.2018 14:30 - 08.09.2018 14:45","421","409"
"08.09.2018 14:45 - 08.09.2018 15:00","417","399"
"08.09.2018 15:00 - 08.09.2018 15:15","415","401"
"08.09.2018 15:15 - 08.09.2018 15:30","415","400"
"08.09.2018 15:30 - 08.09.2018 15:45","415","394"
"08.09.2018 15:45 - 08.09.2018 16:00","413","394"
"08.09.2018 16:00 - 08.09.2018 16:15","411","400"
"08.09.2018 16:15 - 08.09.2018 16:30","410","403"
"08.09.2018 16:30 - 08.09.2018 16:45","411","411"
"08.09.2018 16:45 - 08.09.2018 17:00","418","410"
"08.09.2018 17:00 - 08.09.2018 17:15","423","413"
"08.09.2018 17:15 - 08.09.2018 17:30","423","426"
"08.09.2018 17:30 - 08.09.2018 17:45","427","427"
"08.09.2018 17:45 - 08.09.2018 18:00","431","432"
"08.09.2018 18:00 - 08.09.2018 18:15","436","445"
"08.09.2018 18:15 - 08.09.2018 18:30","436","442"
"08.09.2018 18:30 - 08.09.2018 18:45","440","449"
"08.09.2018 18:45 - 08.09.2018 19:00","445","453"
"08.09.2018 19:00 - 08.09.2018 19:15","452","461"
"08.09.2018 19:15 - 08.09.2018 19:30","456","462"
"08.09.2018 19:30 - 08.09.2018 19:45","459","467"
"08.09.2018 19:45 - 08.09.2018 20:00","464","469"
"08.09.2018 20:00 - 08.09.2018 20:15","465","469"
"08.09.2018 20:15 - 08.09.2018 20:30","472","470"
"08.09.2018 20:30 - 08.09.2018 20:45","476","479"
"08.09.2018 20:45 - 08.09.2018 21:00","476","474"
"08.09.2018 21:00 - 08.09.2018 21:15","472","469"
"08.09.2018 21:15 - 08.09.2018 21:30","469","466"
"08.09.2018 21:30 - 08.09.2018 21:45","464","465"
"08.09.2018 21:45 - 08.09.2018 22:00","459","460"
"08.09.2018 22:00 - 08.09.2018 22:15","455","458"
"08.09.2018 22:15 - 08.09.2018 22:30","460","463"
"08.09.2018 22:30 - 08.09.2018 22:45","458","461"
"08.09.2018 22:45 - 08.09.2018 23:00","451","454"
"08.09.2018 23:00 - 08.09.2018 23:15","446","448"
"08.09.2018 23:15 - 08.09.2018 23:30","439","442"
"08.09.2018 23:30 - 08.09.2018 23:45","432","436"
"08.09.2018 23:45 - 09.09.2018 00:00","425","425"
"09.09.2018 00:00 - 09.09.2018 00:15","419","417"
"09.09.2018 00:15 - 09.09.2018 00:30","415","412"
"09.09.2018 00:30 - 09.09.2018 00:45","408","408"
"09.09.2018 00:45 - 09.09.2018 01:00","402","401"
"09.09.2018 01:00 - 09.09.2018 01:15","397","395"
"09.09.2018 01:15 - 09.09.2018 01:30","393","390"
"09.09.2018 01:30 - 09.09.2018 01:45","389","385"
"09.09.2018 01:45 - 09.09.2018 02:00","386","382"
"09.09.2018 02:00 - 09.09.2018 02:15","382","379"
"09.09.2018 02:15 - 09.09.2018 02:30","381","382"
"09.09.2018 02:30 - 09.09.2018 02:45","380","378"
"09.09.2018 02:45 - 09.09.2018 03:00","377","376"
"09.09.2018 03:00 - 09.09.2018 03:15","376","371"
"09.09.2018 03:15 - 09.09.2018 03:30","378","373"
"09.09.2018 03:30 - 09.09.2018 03:45","377","371"
"09.09.2018 03:45 - 09.09.2018 04:00","375","367"
"09.09.2018 04:00 - 09.09.2018 04:15","374","365"
"09.09.2018 04:15 - 09.09.2018 04:30","373","366"
"09.09.2018 04:30 - 09.09.2018 04:45","372","369"
"09.09.2018 04:45 - 09.09.2018 05:00","372","368"
"09.09.2018 05:00 - 09.09.2018 05:15","371","371"
"09.09.2018 05:15 - 09.09.2018 05:30","375","377"
"09.09.2018 05:30 - 09.09.2018 05:45","376","379"
"09.09.2018 05:45 - 09.09.2018 06:00","375","376"
"09.09.2018 06:00 - 09.09.2018 06:15","374","377"
"09.09.2018 06:15 - 09.09.2018 06:30","362","372"
"09.09.2018 06:30 - 09.09.2018 06:45","355","364"
"09.09.2018 06:45 - 09.09.2018 07:00","356","365"
"09.09.2018 07:00 - 09.09.2018 07:15","358","363"
"09.09.2018 07:15 - 09.09.2018 07:30","359","358"
"09.09.2018 07:30 - 09.09.2018 07:45","360","362"
"09.09.2018 07:45 - 09.09.2018 08:00","362","365"
"09.09.2018 08:00 - 09.09.2018 08:15","362","366"
"09.09.2018 08:15 - 09.09.2018 08:30","369","373"
"09.09.2018 08:30 - 09.09.2018 08:45","373","374"
"09.09.2018 08:45 - 09.09.2018 09:00","378","373"
"09.09.2018 09:00 - 09.09.2018 09:15","382","373"
"09.09.2018 09:15 - 09.09.2018 09:30","385","378"
"09.09.2018 09:30 - 09.09.2018 09:45","392","388"
"09.09.2018 09:45 - 09.09.2018 10:00","395","390"
"09.09.2018 10:00 - 09.09.2018 10:15","398","389"
"09.09.2018 10:15 - 09.09.2018 10:30","400","391"
"09.09.2018 10:30 - 09.09.2018 10:45","399","394"
"09.09.2018 10:45 - 09.09.2018 11:00","399","400"
"09.09.2018 11:00 - 09.09.2018 11:15","401","402"
"09.09.2018 11:15 - 09.09.2018 11:30","401","407"
"09.09.2018 11:30 - 09.09.2018 11:45","405","407"
"09.09.2018 11:45 - 09.09.2018 12:00","411","412"
"09.09.2018 12:00 - 09.09.2018 12:15","415","414"
"09.09.2018 12:15 - 09.09.2018 12:30","418","413"
"09.09.2018 12:30 - 09.09.2018 12:45","417","413"
"09.09.2018 12:45 - 09.09.2018 13:00","414","406"
"09.09.2018 13:00 - 09.09.2018 13:15","407","403"
"09.09.2018 13:15 - 09.09.2018 13:30","400","397"
"09.09.2018 13:30 - 09.09.2018 13:45","395","390"
"09.09.2018 13:45 - 09.09.2018 14:00","390","385"
"09.09.2018 14:00 - 09.09.2018 14:15","388","383"
"09.09.2018 14:15 - 09.09.2018 14:30","383","379"
"09.09.2018 14:30 - 09.09.2018 14:45","380","377"
"09.09.2018 14:45 - 09.09.2018 15:00","377","374"
"09.09.2018 15:00 - 09.09.2018 15:15","376","369"
"09.09.2018 15:15 - 09.09.2018 15:30","375","373"
"09.09.2018 15:30 - 09.09.2018 15:45","375","371"
"09.09.2018 15:45 - 09.09.2018 16:00","373","375"
"09.09.2018 16:00 - 09.09.2018 16:15","373","375"
"09.09.2018 16:15 - 09.09.2018 16:30","372","382"
"09.09.2018 16:30 - 09.09.2018 16:45","374","381"
"09.09.2018 16:45 - 09.09.2018 17:00","377","381"
"09.09.2018 17:00 - 09.09.2018 17:15","380","391"
"09.09.2018 17:15 - 09.09.2018 17:30","388","399"
"09.09.2018 17:30 - 09.09.2018 17:45","392","406"
"09.09.2018 17:45 - 09.09.2018 18:00","398","414"
"09.09.2018 18:00 - 09.09.2018 18:15","405","417"
"09.09.2018 18:15 - 09.09.2018 18:30","404","419"
"09.09.2018 18:30 - 09.09.2018 18:45","410","429"
"09.09.2018 18:45 - 09.09.2018 19:00","414","434"
"09.09.2018 19:00 - 09.09.2018 19:15","419","441"
"09.09.2018 19:15 - 09.09.2018 19:30","425","449"
"09.09.2018 19:30 - 09.09.2018 19:45","429","451"
"09.09.2018 19:45 - 09.09.2018 20:00","439","454"
"09.09.2018 20:00 - 09.09.2018 20:15","443","457"
"09.09.2018 20:15 - 09.09.2018 20:30","457","462"
"09.09.2018 20:30 - 09.09.2018 20:45","464","474"
"09.09.2018 20:45 - 09.09.2018 21:00","466","474"
"09.09.2018 21:00 - 09.09.2018 21:15","463","469"
"09.09.2018 21:15 - 09.09.2018 21:30","457","465"
"09.09.2018 21:30 - 09.09.2018 21:45","452","462"
"09.09.2018 21:45 - 09.09.2018 22:00","449","455"
"09.09.2018 22:00 - 09.09.2018 22:15","443","449"
"09.09.2018 22:15 - 09.09.2018 22:30","446","453"
"09.09.2018 22:30 - 09.09.2018 22:45","443","452"
"09.09.2018 22:45 - 09.09.2018 23:00","435","442"
"09.09.2018 23:00 - 09.09.2018 23:15","430","431"
"09.09.2018 23:15 - 09.09.2018 23:30","418","424"
"09.09.2018 23:30 - 09.09.2018 23:45","411","418"
"09.09.2018 23:45 - 10.09.2018 00:00","404","407"
"10.09.2018 00:00 - 10.09.2018 00:15","399","399"
"10.09.2018 00:15 - 10.09.2018 00:30","390","391"
"10.09.2018 00:30 - 10.09.2018 00:45","385","388"
